feature,label_a,label_b,cohen_d
run_without_toolcall_or_termination,completed_False,unknown_False,3.351096946712921
run_without_toolcall_or_termination,completed_True,unknown_False,2.770090372785819
intention_without_toolcall,agent_invalid_action_False,unknown_False,2.6323550158162425
step_without_goal,agent_invalid_action_False,unknown_False,2.5766936786837737
step_without_intention,agent_invalid_action_False,unknown_False,2.5766936786837737
run_without_termination,completed_False,agent_invalid_action_False,2.216102685145955
run_without_termination,completed_True,agent_invalid_action_False,2.216102685145955
run_without_toolcall_or_termination,completed_False,agent_invalid_action_False,2.164767788376148
step_without_goal,completed_True,unknown_False,2.16184152429531
step_without_intention,completed_True,unknown_False,2.16184152429531
null_observation_present,completed_False,unknown_False,2.0602681518856936
null_observation_present,agent_invalid_action_False,unknown_False,1.8971821439938399
run_without_toolcall_or_termination,completed_True,agent_invalid_action_False,1.8653761224145298
null_observation_present,completed_True,unknown_False,1.7930096525854007
run_without_toolcall,agent_invalid_action_False,unknown_False,1.3743685418725533
intention_without_toolcall,completed_False,unknown_False,1.2755065900931244
step_without_intention,completed_False,unknown_False,1.174191733170829
step_without_goal,completed_False,unknown_False,1.174191733170829
intention_without_toolcall,completed_True,unknown_False,1.037032057880788
missing_intention_toolcall_observation,completed_False,agent_invalid_action_False,0.957465158576983
missing_goal_intention_toolcall,completed_False,agent_invalid_action_False,0.9483754339184252
missing_goal_intention_toolcall,completed_False,unknown_False,0.9483754339184252
run_without_termination,agent_invalid_action_False,unknown_False,0.8523471865945981
missing_goal_intention_toolcall_observation,completed_False,agent_invalid_action_False,0.8507222209917082
missing_goal_intention_toolcall_observation,completed_False,unknown_False,0.8507222209917082
step_without_intention,completed_False,agent_invalid_action_False,0.8250023457156511
step_without_goal,completed_False,agent_invalid_action_False,0.8250023457156511
run_without_toolcall,completed_False,agent_invalid_action_False,0.7906362878583109
missing_goal_intention_toolcall,completed_True,unknown_False,0.7488968960054253
missing_goal_intention_toolcall,completed_True,agent_invalid_action_False,0.7488968960054253
missing_goal_intention_toolcall_observation,completed_True,unknown_False,0.7086277697824188
missing_goal_intention_toolcall_observation,completed_True,agent_invalid_action_False,0.7086277697824188
run_without_toolcall,completed_True,unknown_False,0.7086277697824187
run_without_toolcall,completed_True,agent_invalid_action_False,0.6390276587914774
missing_intention_toolcall_observation,completed_True,agent_invalid_action_False,0.6335992934070865
toolcall_without_observation,agent_invalid_action_False,unknown_False,0.6146362971528592
run_without_toolcall,completed_False,unknown_False,0.5879117450373544
intention_without_toolcall,completed_False,agent_invalid_action_False,0.5634222498228437
toolcall_without_observation,completed_True,agent_invalid_action_False,0.514885630480822
run_without_toolcall_or_termination,agent_invalid_action_False,unknown_False,0.48591265790377525
missing_intention_toolcall_observation,agent_invalid_action_False,unknown_False,0.47533529954788606
step_without_goal,completed_True,completed_False,0.4746793591832121
step_without_intention,completed_True,completed_False,0.4746793591832121
goal_without_intention,completed_False,agent_invalid_action_False,0.46402033856473945
goal_without_intention,completed_False,unknown_False,0.4449588002929925
step_without_goal,completed_True,agent_invalid_action_False,0.4244384021937608
step_without_intention,completed_True,agent_invalid_action_False,0.4244384021937608
goal_without_intention,completed_True,agent_invalid_action_False,0.4213137039106235
toolcall_without_observation,completed_False,unknown_False,0.4174387121466103
goal_without_intention,completed_True,unknown_False,0.4001195831822209
intention_without_toolcall,completed_True,agent_invalid_action_False,0.38729878987795446
toolcall_without_observation,completed_True,completed_False,0.320571991518139
missing_intention_toolcall_observation,completed_True,completed_False,0.28115286135098766
missing_intention_toolcall_observation,completed_False,unknown_False,0.2596024044278051
missing_goal_intention_toolcall,completed_True,completed_False,0.20535593091476115
toolcall_without_observation,completed_True,unknown_False,0.19245008972987523
toolcall_without_observation,completed_False,agent_invalid_action_False,0.16852798958962428
missing_goal_intention_toolcall_observation,completed_True,completed_False,0.1521005400453326
run_without_toolcall_or_termination,completed_True,completed_False,0.1419755228791824
run_without_toolcall,completed_True,completed_False,0.1419755228791824
null_observation_present,completed_False,agent_invalid_action_False,0.09861910994102302
null_observation_present,completed_True,agent_invalid_action_False,0.08543022918468968
goal_without_intention,agent_invalid_action_False,unknown_False,0.06762825478132117
intention_without_toolcall,completed_True,completed_False,0.041558750293578015
missing_intention_toolcall_observation,completed_True,unknown_False,0.030152944723206777
goal_without_intention,completed_True,completed_False,0.01675535026796428
null_observation_present,completed_True,completed_False,0.002650393689654061
goal_without_intention,completed_True,task_limit_reached_False,
goal_without_intention,completed_False,task_limit_reached_False,
goal_without_intention,agent_invalid_action_False,task_limit_reached_False,
goal_without_intention,task_limit_reached_False,unknown_False,
step_without_intention,completed_True,task_limit_reached_False,
step_without_intention,completed_False,task_limit_reached_False,
step_without_intention,agent_invalid_action_False,task_limit_reached_False,
step_without_intention,task_limit_reached_False,unknown_False,
step_without_goal,completed_True,task_limit_reached_False,
step_without_goal,completed_False,task_limit_reached_False,
step_without_goal,agent_invalid_action_False,task_limit_reached_False,
step_without_goal,task_limit_reached_False,unknown_False,
intention_without_toolcall,completed_True,task_limit_reached_False,
intention_without_toolcall,completed_False,task_limit_reached_False,
intention_without_toolcall,agent_invalid_action_False,task_limit_reached_False,
intention_without_toolcall,task_limit_reached_False,unknown_False,
missing_goal_intention_toolcall,completed_True,task_limit_reached_False,
missing_goal_intention_toolcall,completed_False,task_limit_reached_False,
missing_goal_intention_toolcall,agent_invalid_action_False,task_limit_reached_False,
missing_goal_intention_toolcall,task_limit_reached_False,unknown_False,
missing_intention_toolcall_observation,completed_True,task_limit_reached_False,
missing_intention_toolcall_observation,completed_False,task_limit_reached_False,
missing_intention_toolcall_observation,agent_invalid_action_False,task_limit_reached_False,
missing_intention_toolcall_observation,task_limit_reached_False,unknown_False,
missing_goal_intention_toolcall_observation,completed_True,task_limit_reached_False,
missing_goal_intention_toolcall_observation,completed_False,task_limit_reached_False,
missing_goal_intention_toolcall_observation,agent_invalid_action_False,task_limit_reached_False,
missing_goal_intention_toolcall_observation,task_limit_reached_False,unknown_False,
run_without_toolcall,completed_True,task_limit_reached_False,
run_without_toolcall,completed_False,task_limit_reached_False,
run_without_toolcall,agent_invalid_action_False,task_limit_reached_False,
run_without_toolcall,task_limit_reached_False,unknown_False,
run_without_toolcall_or_termination,completed_True,task_limit_reached_False,
run_without_toolcall_or_termination,completed_False,task_limit_reached_False,
run_without_toolcall_or_termination,agent_invalid_action_False,task_limit_reached_False,
run_without_toolcall_or_termination,task_limit_reached_False,unknown_False,
null_observation_present,completed_True,task_limit_reached_False,
null_observation_present,completed_False,task_limit_reached_False,
null_observation_present,agent_invalid_action_False,task_limit_reached_False,
null_observation_present,task_limit_reached_False,unknown_False,
toolcall_without_observation,completed_True,task_limit_reached_False,
toolcall_without_observation,completed_False,task_limit_reached_False,
toolcall_without_observation,agent_invalid_action_False,task_limit_reached_False,
toolcall_without_observation,task_limit_reached_False,unknown_False,
run_without_termination,completed_True,task_limit_reached_False,
run_without_termination,completed_False,task_limit_reached_False,
run_without_termination,agent_invalid_action_False,task_limit_reached_False,
