feature,f_score,p_value
run_without_termination,100.40482123510294,9.75422158851226e-40
run_without_toolcall_or_termination,17.422898806711952,1.4050822536848309e-11
step_without_intention,7.893450212520945,9.355376481904814e-06
step_without_goal,7.893450212520945,9.355376481904814e-06
null_observation_present,4.205584709359876,0.0030444141218174433
toolcall_without_observation,3.602116983042403,0.007965497291088195
missing_intention_toolcall_observation,3.146456583762547,0.01642597242257247
run_without_toolcall,2.982181181358773,0.021298700730267527
missing_goal_intention_toolcall,2.278035146362042,0.06402021874873527
goal_without_intention,2.0730094848962626,0.08766431694433745
missing_goal_intention_toolcall_observation,1.8028834893652133,0.13177013650032438
intention_without_toolcall,1.4777801480742874,0.21228060016082811
