feature,importance
intention_without_toolcall,0.3248140707418637
goal_without_intention,0.11690937112833014
step_without_intention,0.11333823809944686
step_without_goal,0.11188563891169026
run_without_termination,0.10828907342739952
null_observation_present,0.0685011744262862
run_without_toolcall_or_termination,0.03879921298800767
missing_intention_toolcall_observation,0.03579572298748586
missing_goal_intention_toolcall,0.024519803744124595
toolcall_without_observation,0.022557382628630943
missing_goal_intention_toolcall_observation,0.020460065487733037
run_without_toolcall,0.014130245429001202
